title,author,publisher,pubdate,detail_url,img_url,topic,price,sale_price,rating,desc,판매지수,pubdate,author
이재명 자서전 그 꿈이 있어 여기까지 왔다,"화제의 책 + 알라딘 굿즈 (이벤트 도서 포함, 국내도서 3만5천원 이상) [국내도서] 이재명 자서전 그 꿈이 있어 여기까지 왔다 이재명 , 스토리텔링콘텐츠연구소 (지은이)",도서출판 아시아,"2025년 6월 16,800 원 → 15,120원 ( 10% 할인),  마일리지 840 원 10.0 ( 2 )",https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=365385254,,인공지능,,15120.0,10.0,,,2025-06-01,"화제의 책 + 알라딘 굿즈 (이벤트 도서 포함, 국내도서 3만5천원 이상) [국내도서] 이재명 자서전 그 꿈이 있어 여기까지 왔다 이재명 , 스토리텔링콘텐츠연구소 (지은이)"
마침내 특이점이 시작된다,"특별 메시지+친필 사인 인쇄본 [국내도서] 마침내 특이점이 시작된다 - 인류가 AI와 결합하는 순간 레이 커즈와일 (지은이), 이충호 (옮긴이), 장대익 (감수)",비즈니스북스,"2025년 6월 30,000 원 → 27,000원 ( 10% 할인),  마일리지 1,500 원 10.0 ( 7 )",https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=365420294,,인공지능,,27000.0,10.0,,,2025-06-01,"특별 메시지+친필 사인 인쇄본 [국내도서] 마침내 특이점이 시작된다 - 인류가 AI와 결합하는 순간 레이 커즈와일 (지은이), 이충호 (옮긴이), 장대익 (감수)"
저속노화 마인드셋,"유리 머그 [국내도서] 저속노화 마인드셋 - 노년내과 의사가 알려주는, 내 몸의 주도권을 되찾고 무너진 삶을 회복하는 법 정희원 (지은이)",웨일북,"2025년 6월 19,500 원 → 17,550원 ( 10% 할인),  마일리지 970 원 8.8 ( 10 )",https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=365713027,,인공지능,,17550.0,8.8,,,2025-06-01,"유리 머그 [국내도서] 저속노화 마인드셋 - 노년내과 의사가 알려주는, 내 몸의 주도권을 되찾고 무너진 삶을 회복하는 법 정희원 (지은이)"
"혹시, 돈 얘기해도 될까요?","화제의 책 + 알라딘 굿즈 (이벤트 도서 포함, 국내도서 3만5천원 이상) [국내도서] 혹시, 돈 얘기해도 될까요? 주언규 (지은이)",필름(Feelm),"2025년 5월 19,800 원 → 17,820원 ( 10% 할인),  마일리지 990 원 9.9 ( 32 )",https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=364851788,,인공지능,,17820.0,9.9,,,2025-05-01,"화제의 책 + 알라딘 굿즈 (이벤트 도서 포함, 국내도서 3만5천원 이상) [국내도서] 혹시, 돈 얘기해도 될까요? 주언규 (지은이)"
료의 생각 없는 생각,아크릴 참 키링 [국내도서] 료의 생각 없는 생각 - 양장 료 (지은이),열림원,"2025년 6월 20,000 원 → 18,000원 ( 10% 할인),  마일리지 1,000 원 10.0 ( 1 )",https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=365667648,,인공지능,,18000.0,10.0,,,2025-06-01,아크릴 참 키링 [국내도서] 료의 생각 없는 생각 - 양장 료 (지은이)
처음 읽는 그리스 로마 신화 13,"인스 스티커(초판 한정/책과 랩핑) [국내도서] 처음 읽는 그리스 로마 신화 13 - 오디세우스의 모험 ㅣ 어린이를 위한 인문학 시리즈 최설희 (지은이), 한현동 (그림), 정수영 (구성)",미래엔아이세움,"2025년 6월 15,500 원 → 13,950원 ( 10% 할인),  마일리지 770 원 세일즈포인트 : 22,700",https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=365816576,,인공지능,,13950.0,,,,2025-06-01,"인스 스티커(초판 한정/책과 랩핑) [국내도서] 처음 읽는 그리스 로마 신화 13 - 오디세우스의 모험 ㅣ 어린이를 위한 인문학 시리즈 최설희 (지은이), 한현동 (그림), 정수영 (구성)"
믿을 구석 The Last Resort,"화제의 책 + 알라딘 굿즈 (이벤트 도서 포함, 국내도서 3만5천원 이상) [국내도서] 믿을 구석 The Last Resort 김멜라 , 김복희 , 김이설 , 박정민 , 박참새 , 손원평 , 오은 , 이해인 , 조예은 , 천선란 , 황인찬 , 김정아 , 배유진 , 인범 (지은이)",서울국제도서전,"2025년 6월 15,000 원 → 13,500원 ( 10% 할인),  마일리지 750 원 5.3 ( 3 )",https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=365718712,,인공지능,,13500.0,5.3,,,2025-06-01,"화제의 책 + 알라딘 굿즈 (이벤트 도서 포함, 국내도서 3만5천원 이상) [국내도서] 믿을 구석 The Last Resort 김멜라 , 김복희 , 김이설 , 박정민 , 박참새 , 손원평 , 오은 , 이해인 , 조예은 , 천선란 , 황인찬 , 김정아 , 배유진 , 인범 (지은이)"
귀신 저택,"화제의 책 + 알라딘 굿즈 (이벤트 도서 포함, 국내도서 3만5천원 이상) [국내도서] 귀신 저택 ㅣ 미야베 월드 2막 미야베 미유키 (지은이), 이규원 (옮긴이)",북스피어,"2025년 6월 19,800 원 → 17,820원 ( 10% 할인),  마일리지 990 원 7.6 ( 16 )",https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=365821087,,인공지능,,17820.0,7.6,,,2025-06-01,"화제의 책 + 알라딘 굿즈 (이벤트 도서 포함, 국내도서 3만5천원 이상) [국내도서] 귀신 저택 ㅣ 미야베 월드 2막 미야베 미유키 (지은이), 이규원 (옮긴이)"
모순,"화제의 책 + 알라딘 굿즈 (이벤트 도서 포함, 국내도서 3만5천원 이상) [국내도서] 모순 - 개정판 Choice 양귀자 (지은이)",쓰다,"2013년 4월 13,000 원 → 11,700원 ( 10% 할인),  마일리지 650 원 9.1 ( 195 )",https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=25843736,,인공지능,,11700.0,9.1,,,2013-04-01,"화제의 책 + 알라딘 굿즈 (이벤트 도서 포함, 국내도서 3만5천원 이상) [국내도서] 모순 - 개정판 Choice 양귀자 (지은이)"
유지만 다이어트 레시피,"화제의 책 + 알라딘 굿즈 (이벤트 도서 포함, 국내도서 3만5천원 이상) [국내도서] 유지만 다이어트 레시피 - 진짜 맛있어서 평생 먹고 싶은 유지만 (지은이)",길벗,"2025년 6월 22,000 원 → 19,800원 ( 10% 할인),  마일리지 1,100 원 10.0 ( 2 )",https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=365443704,,인공지능,,19800.0,10.0,,,2025-06-01,"화제의 책 + 알라딘 굿즈 (이벤트 도서 포함, 국내도서 3만5천원 이상) [국내도서] 유지만 다이어트 레시피 - 진짜 맛있어서 평생 먹고 싶은 유지만 (지은이)"
